KEY,R3,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,HOME TYPE,ZIP,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,LAST SALE DATE,FAVORITE,INTERESTED,IS SHORT SALE,LAST SALE PRICE
160000913,913,http://www.redfin.com/CA/San-Diego/5545-Timothy-Dr-92105/home/5840948,5545 Timothy Dr,San Diego,CA,32.728638,-117.07634,Single Family Residential,92105,3,1,San Diego,1130,,1951,4,Garage,2/19/2016,N,Y,FALSE,375000
150064662,662,http://www.redfin.com/CA/San-Diego/2351-Shamrock-St-92105/home/5536696,2351 Shamrock St,San Diego,CA,32.730565,-117.10555,Single Family Residential,92105,2,1,City Heights,810,8359,1952,2,Garage,2/18/2016,N,Y,FALSE,410000
160006342,342,http://www.redfin.com/CA/San-Diego/4345-41st-St-92105/home/5400223,4345 41st St,San Diego,CA,32.75611,-117.106924,Single Family Residential,92105,2,1,Kensington,958,3759,1926,3,Garage,3/1/2016,N,Y,FALSE,410000
150030334,334,http://www.redfin.com/CA/San-Diego/3676-Marlborough-Ave-92105/home/5395599,3676 Marlborough,San Diego,CA,32.7454411,-117.1060355,Single Family Residential,92105,2,1,San Diego,696,,1925,1,Garage,6/29/2015,N,Y,FALSE,282000
150050979,979,http://www.redfin.com/CA/San-Diego/3403-42nd-St-92105/home/5531853,3403 42nd St,San Diego County,CA,32.741237,-117.104205,Single Family Residential,92105,3,2,San Diego,1183,,1936,3,Garage,10/13/2015,N,Y,FALSE,400000
150045669,669,http://www.redfin.com/CA/San-Diego/3419-45th-St-92105/home/5532035,3419 45th,San Diego,CA,32.74153,-117.0973943,Single Family Residential,92105,3,1,City Heights,871,6251,1950,2,Garage,10/16/2015,N,Y,FALSE,345000
150027512,512,http://www.redfin.com/CA/San-Diego/4277-Dwight-St-92105/home/5530531,4277 Dwight,San Diego,CA,32.743798,-117.102583,Single Family Residential,92105,3,1,City Heights,748,3001,1926,1,,9/10/2015,N,Y,FALSE,269770
150055353,353,http://www.redfin.com/CA/San-Diego/3808-39th-St-92105/home/5321942,3808 39th St,Sasn Diego,CA,32.748083,-117.110921,Single Family Residential,92105,2,1,City Heights,748,,1925,1,,11/25/2015,N,Y,FALSE,302500
150024981,981,http://www.redfin.com/CA/San-Diego/3124-Menlo-Ave-92105/home/5533692,3124 Menlo,San Diego,CA,32.738827,-117.094718,Single Family Residential,92105,3,1,City Heights,2063,6251,1954,2,Garage,11/30/2015,N,Y,TRUE,311500
150036200,200,http://www.redfin.com/CA/San-Diego/3334-42nd-St-92105/home/5396992,3334 42nd St,San Diego,CA,32.741016,-117.104917,Single Family Residential,92105,3,2,City Heights,1048,7000,1954,2,Garage,12/11/2015,N,Y,FALSE,392000
150054038,38,http://www.redfin.com/CA/San-Diego/3555-Chamoune-Ave-92105/home/5531204,3555 CHAMOUNE Ave,SAN DIEGO,CA,32.743173,-117.096317,Single Family Residential,92105,1,1,City Heights,525,,1925,2,,12/18/2015,N,Y,FALSE,305000
150056486,486,http://www.redfin.com/CA/San-Diego/3751-Chamoune-Ave-92105/home/5503764,3751 Chamoune Ave,San Diego,CA,32.746823,-117.096309,Single Family Residential,92105,3,1,City Heights,1009,6251,1914,2,Garage,1/8/2016,N,Y,FALSE,303000
150062955,955,http://www.redfin.com/CA/San-Diego/3034-40th-St-92105/home/5397753,3034 40th St,San Diego,CA,32.737311,-117.109887,Single Family Residential,92105,4,2,City Heights,1344,7000,1960,2,,2/3/2016,N,Y,FALSE,375000
150056991,991,http://www.redfin.com/CA/San-Diego/3613-42nd-St-92105/home/5504809,3613 42nd St,San Diego,CA,32.744349,-117.104166,Single Family Residential,92105,4,1,City Heights,924,7000,1918,0,,2/5/2016,N,Y,FALSE,275000
150061026,26,http://www.redfin.com/CA/San-Diego/3739-Polk-Ave-92105/home/5320806,3739 Polk Ave,San Diego,CA,32.7513918,-117.1121499,Single Family Residential,92105,3,2,City Heights,900,,1938,1,,2/17/2016,N,Y,FALSE,359000
150046656,656,http://www.redfin.com/CA/San-Diego/1935-Rexford-Dr-92105/home/5829408,1935 Rexford Dr,San Diego,CA,32.726316,-117.108269,Single Family Residential,92105,4,2,San Diego,1396,5800,1959,4,Garage,10/9/2015,N,Y,FALSE,386500
150042891,891,http://www.redfin.com/CA/San-Diego/1969-Parrot-St-92105/home/5828929,1969 Parrot,San Diego,CA,32.726244,-117.112038,Single Family Residential,92105,3,3,San Diego,1824,5900,1954,6,Garage,10/15/2015,N,Y,FALSE,440000
150049504,504,http://www.redfin.com/CA/San-Diego/2077-39th-St-92105/home/5827579,2077 39th,San Diego,CA,32.727359,-117.110036,Single Family Residential,92105,3,1,San Diego,1342,6100,1953,4,Garage,10/23/2015,N,Y,FALSE,410000
150052304,304,http://www.redfin.com/CA/San-Diego/2342-39th-St-92105/home/5826569,2342 39th St,San Diego,CA,32.730546,-117.110729,Single Family Residential,92105,3,1,East San Diego,895,,1957,2,,10/30/2015,N,Y,FALSE,390000
150052560,560,http://www.redfin.com/CA/San-Diego/2103-Rexford-Dr-92105/home/6277404,2103 Rexford Dr,San Diego,CA,32.727825,-117.108233,Single Family Residential,92105,2,1,San Diego,942,,1953,2,Garage,10/29/2015,N,Y,FALSE,338000
150056473,473,http://www.redfin.com/CA/San-Diego/4120-Sycamore-Dr-92105/home/5826813,4120 Sycamore,San Diego,CA,32.731404,-117.106591,Single Family Residential,92105,2,1,San Diego,800,7261,1959,2,,12/11/2015,N,Y,FALSE,330000
150042254,254,http://www.redfin.com/CA/San-Diego/2036-Tulip-St-92105/home/5828088,2036 Tulip St,San Diego,CA,32.727584,-117.107087,Single Family Residential,92105,3,2,San Diego,1264,5500,1953,4,Garage,12/15/2015,N,Y,FALSE,385000
