KEY,R3,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,HOME TYPE,ZIP,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,LAST SALE DATE,FAVORITE,INTERESTED,IS SHORT SALE,LAST SALE PRICE
150059018,18,http://www.redfin.com/CA/El-Cajon/963-Taft-Ave-92020/home/5616710,963 Taft Ave,El Cajon,CA,32.782937,-116.955966,Single Family Residential,92020,3,2,El Cajon,1232,6300,1959,4,Garage,12/29/15,N,Y,FALSE,423000
150058387,387,http://www.redfin.com/CA/El-Cajon/1254-Vista-Del-Monte-Dr-92020/home/5618276,1254 Vista Del Monte Dr,El Cajon,CA,32.782519,-116.939683,Single Family Residential,92020,4,4,El Cajon,3106,40946,1979,7,Garage,12/31/15,N,Y,FALSE,676000
150054605,605,http://www.redfin.com/CA/El-Cajon/1042-Merritt-Dr-92020/home/5617998,1042 Merritt Dr,El Cajon,CA,32.784549,-116.946706,Single Family Residential,92020,3,3,El Cajon,2238,,1954,9,Garage,1/13/16,N,Y,FALSE,552000
150062544,544,http://www.redfin.com/CA/El-Cajon/874-Lura-Ave-92020/home/5609433,874 Lura Ave,El Cajon,CA,32.784563,-116.966448,Single Family Residential,92020,3,2,El Cajon,1536,6100,1978,4,Garage,1/11/16,N,Y,FALSE,420000
150063471,471,http://www.redfin.com/CA/El-Cajon/685-Kidd-Way-92020/home/5610883,685 Kidd Way,El Cajon,CA,32.782405,-116.969573,Single Family Residential,92020,3,2,El Cajon,1118,,1956,4,Garage,1/19/16,N,Y,FALSE,415000
150065716,716,http://www.redfin.com/CA/El-Cajon/1037-Pine-Dr-92020/home/5606903,1037 Pine Dr,El Cajon,CA,32.781794,-116.978262,Single Family Residential,92020,3,2,El Cajon,1619,,1980,4,Garage,1/28/16,N,Y,FALSE,342000
150050561,561,http://www.redfin.com/CA/El-Cajon/1432-S-Magnolia-Ave-92020/home/5613986,1432 S Magnolia Ave,El Cajon,CA,32.77628,-116.962681,Single Family Residential,92020,5,3,El Cajon,3308,21780,2000,5,Garage,2/3/16,N,Y,FALSE,686000
150061050,50,http://www.redfin.com/CA/El-Cajon/943-S-Johnson-Ave-92020/home/5610650,943 S Johnson,El Cajon,CA,32.783426,-116.970504,Single Family Residential,92020,3,2,El Cajon,1834,7000,1956,2,,2/5/16,N,Y,FALSE,390000
150050495,495,http://www.redfin.com/CA/El-Cajon/1201-Vista-Del-Monte-Dr-92020/home/5618292,1201 Vista Del Monte Dr,El Cajon,CA,32.78122,-116.942369,Single Family Residential,92020,4,3,El Cajon,2500,234224,1980,7,Garage,1/16/16,N,Y,FALSE,857000
160000863,863,http://www.redfin.com/CA/El-Cajon/930-Salina-St-92020/home/5617082,930 Salina St,El Cajon,CA,32.783793,-116.95479,Single Family Residential,92020,3,2,El Cajon,1232,6000,1958,4,Garage,2/24/16,N,Y,FALSE,430000
150047602,602,http://www.redfin.com/CA/El-Cajon/1367-Sierra-Cir-92020/home/5612707,1367 Sierra Cir,El Cajon,CA,32.7778,-116.969007,Single Family Residential,92020,3,2,El Cajon,1543,6700,1952,4,Garage,10/9/15,N,Y,FALSE,347000
150055332,332,http://www.redfin.com/CA/El-Cajon/1066-S-Johnson-Ave-92020/home/5610724,1066 S Johnson Ave,El Cajon,CA,32.781325,-116.970869,Single Family Residential,92020,4,2,El Cajon,1396,6900,1957,5,Garage,12/11/15,N,Y,FALSE,316000
150032596,596,http://www.redfin.com/CA/El-Cajon/426-Manor-Dr-92020/home/5590151,426 Manor,El Cajon,CA,32.798338,-116.967186,Single Family Residential,92020,2,2,El Cajon,1507,5800,1953,6,Garage,10/16/15,N,Y,FALSE,350000
150059586,586,http://www.redfin.com/CA/El-Cajon/431-Graves-Ave-92020/home/5594753,431 Graves Ave,El Cajon,CA,32.799738,-116.959891,Single Family Residential,92020,6,3,El Cajon,2674,,1947,6,Garage,2/9/16,N,Y,FALSE,445000
150048540,540,http://www.redfin.com/CA/El-Cajon/834-E-Park-Ave-92020/home/5594854,834 E Park,El Cajon,CA,32.798388,-116.95222,Single Family Residential,92020,3,2,El Cajon,1675,6300,1957,4,Garage,11/9/15,N,Y,FALSE,353500
150056305,305,http://www.redfin.com/CA/El-Cajon/1404-Bathurst-Pl-92020/home/5594250,1404 Bathurst,El Cajon,CA,32.798345,-116.981545,Single Family Residential,92020,4,3,El Cajon,2264,10000,1975,5,Garage,12/16/15,N,Y,FALSE,587500
150044471,471,http://www.redfin.com/CA/El-Cajon/771-Live-Oak-Dr-92020/home/5591970,771 Live Oak,El Cajon,CA,32.785344,-116.983044,Single Family Residential,92020,4,3,El Cajon,1909,8600,1960,4,Garage,12/11/15,N,Y,FALSE,555000
150025487,487,http://www.redfin.com/CA/El-Cajon/509-S-Sunshine-Ave-92020/home/5596697,509 S Sunshine Ave,El Cajon,CA,32.7902998,-116.9645806,Single Family Residential,92020,2,2,El Cajon,897,5300,1953,2,Garage,7/15/15,N,Y,FALSE,315000
150014168,168,http://www.redfin.com/CA/El-Cajon/327-Avocado-Ave-92020/home/5596046,327 Avocado,El Cajon,CA,32.792137,-116.957237,Single Family Residential,92020,3,2,El Cajon,1084,10500,1955,6,Garage,7/8/15,N,Y,FALSE,315000
150044967,967,http://www.redfin.com/CA/El-Cajon/497-Murray-Dr-92020/home/5592452,497 Murray Dr,El Cajon,CA,32.790677,-116.980766,Single Family Residential,92020,3,3,El Cajon,2540,,1958,2,Garage,11/10/15,N,Y,FALSE,440000
150055170,170,http://www.redfin.com/CA/El-Cajon/422-S-Sunshine-Ave-92020/home/23017526,422 S Sunshine Ave,El Cajon,CA,32.791184,-116.965384,Single Family Residential,92020,3,2,El Cajon,1426,5114,1991,4,Garage,12/1/15,N,Y,FALSE,402500
150042530,530,http://www.redfin.com/CA/El-Cajon/505-Prescott-Ave-92020/home/5597093,505 Prescott Ave,El Cajon,CA,32.789618,-116.959744,Single Family Residential,92020,3,2,El Cajon,1282,,1960,3,Garage,12/17/15,N,Y,FALSE,320000
150047999,999,http://www.redfin.com/CA/El-Cajon/405-S-Orange-Ave-92020/home/5595600,405 S Orange,El Cajon,CA,32.791423,-116.96331,Single Family Residential,92020,4,3,El Cajon,2098,,1947,2,,9/21/15,N,Y,FALSE,419000
150018981,981,http://www.redfin.com/CA/El-Cajon/333-Ione-Way-92020/home/75122141,333 Ione Way,El Cajon,CA,32.7949486,-116.9594727,Single Family Residential,92020,4,3,El Cajon,1877,4741,2015,2,Garage,9/14/15,N,Y,FALSE,524163
150057740,740,http://www.redfin.com/CA/El-Cajon/203-Richfield-Ave-92020/home/5591339,203 Richfield Ave,San Diego,CA,32.793621,-116.972952,Single Family Residential,92020,2,1,El Cajon,830,8276,1947,6,Garage,12/30/15,N,Y,FALSE,275000
150047270,270,http://www.redfin.com/CA/El-Cajon/823-E-Park-Ave-92020/home/5594868,823 Park Ave,El Cajon,CA,32.797937,-116.952421,Single Family Residential,92020,3,2,El Cajon,1892,6300,1957,4,Garage,10/27/15,N,Y,FALSE,395000
150051557,557,http://www.redfin.com/CA/El-Cajon/327-Connecticut-Ave-92020/home/12153728,327 Connecticut Ave,El Cajon,CA,32.798011,-116.95952,Single Family Residential,92020,3,3,El Cajon,1780,,2006,2,Garage,12/11/15,N,Y,FALSE,402500
140012541,541,http://www.redfin.com/CA/El-Cajon/864-Pamela-Ln-92020/home/5613462,864 Pamela Ln,El Cajon,CA,32.776706,-116.97373,Single Family Residential,92020,4,4,El Cajon,2881,33541,1980,1,Garage,5/7/14,N,Y,FALSE,575000
140009395,395,http://www.redfin.com/CA/El-Cajon/1503-S-Orange-Ave-92020/home/6545638,1503 S ORANGE Ave,El Cajon,CA,32.774929,-116.963679,Single Family Residential,92020,4,3,El Cajon,2105,11827,2000,6,Garage,6/13/14,N,Y,FALSE,565000
140045330,330,http://www.redfin.com/CA/El-Cajon/502-E-Camden-Ave-92020/home/6488765,502 Camden Ct,El Cajon,CA,32.790023,-116.9549375,Single Family Residential,92020,3,3,El Cajon,1682,2042,2002,2,Garage,10/10/14,N,Y,FALSE,375000
140043129,129,http://www.redfin.com/CA/El-Cajon/12248-Green-Top-Ln-92020/home/6430970,12248 GREEN TOP Ln,El Cajon,CA,32.767442,-116.936742,Single Family Residential,92020,5,5,Mount Helix,3772,28314,2001,11,Garage,11/20/14,N,Y,FALSE,855000
140014453,453,http://www.redfin.com/CA/El-Cajon/1361-Helix-View-Dr-92020/home/6430293,1361 Helix View Dr,El Cajon,CA,32.780842,-116.979121,Single Family Residential,92020,5,4,El Cajon,3600,8276,1951,0,,9/3/14,N,Y,FALSE,745000
140032167,167,http://www.redfin.com/CA/El-Cajon/1665-Grove-Rd-92020/home/6432584,1665 GROVE Rd,EL CAJON,CA,32.77325,-116.937111,Single Family Residential,92020,3,2,El Cajon,2432,24394,1970,8,Garage,7/31/14,N,Y,FALSE,543000
150005480,480,http://www.redfin.com/CA/El-Cajon/557-Skyview-St-92020/home/5613712,557 Skyview,El Cajon,CA,32.776504,-116.967829,Single Family Residential,92020,5,3,El Cajon,2298,7841,1975,4,Garage,3/24/15,N,Y,FALSE,500000
140039885,885,http://www.redfin.com/CA/El-Cajon/1371-Windridge-Dr-92020/home/5702376,1371 Windridge Dr,El Cajon,CA,32.778235,-116.93599,Single Family Residential,92020,5,5,El Cajon,5050,,2005,3,Garage,2/27/15,N,Y,FALSE,900000
140031925,925,http://www.redfin.com/CA/El-Cajon/337-Avocado-Ave-92020/home/6429901,337 Avocado Ave,El Cajon,CA,32.791945,-116.957237,Single Family Residential,92020,3,1,El Cajon,1099,10500,1957,10,,7/3/14,N,Y,FALSE,255000
140056649,649,http://www.redfin.com/CA/El-Cajon/733-E-Camden-Ave-92020/home/6429925,733 E Camden,El Cajon,CA,32.7900261,-116.953007,Single Family Residential,92020,2,2,El Cajon,1033,,1949,10,Garage,10/31/14,N,Y,FALSE,271000
150004968,968,http://www.redfin.com/CA/El-Cajon/480-Ballantyne-St-92020/home/5594773,480 BALLANTYNE St,EL CAJON,CA,32.800592,-116.958431,Single Family Residential,92020,4,3,El Cajon,1365,,1946,2,,5/13/15,N,Y,FALSE,330000
150006720,720,http://www.redfin.com/CA/El-Cajon/902-Laguna-Ave-92020/home/5612240,902 Laguna,El Cajon,CA,32.77934,-116.973385,Single Family Residential,92020,3,2,El Cajon,1584,6000,1955,2,Garage,3/12/15,N,Y,FALSE,385000
150006242,242,http://www.redfin.com/CA/El-Cajon/997-S-Lincoln-Ave-92020/home/5617367,997 S Lincoln,El Cajon,CA,32.782255,-116.953368,Single Family Residential,92020,3,1,El Cajon,1170,,1956,4,Garage,4/7/15,N,Y,FALSE,367500
140063572,572,http://www.redfin.com/CA/El-Cajon/658-Hawthorne-Ave-92020/home/5591826,658 Hawthorne,El Cajon,CA,32.787869,-116.983083,Single Family Residential,92020,4,2,El Cajon,1471,11000,1952,4,Garage,12/22/14,N,Y,FALSE,495000
140032890,890,http://www.redfin.com/CA/El-Cajon/593-Hawthorne-Ave-92020/home/5592413,593 Hawthorne Ave,El Cajon,CA,32.789111,-116.982779,Single Family Residential,92020,4,3,El Cajon,1748,14000,1947,4,Garage,8/20/14,N,Y,FALSE,460000
140052809,809,http://www.redfin.com/CA/El-Cajon/470-Hillsmont-Pl-92020/home/5593359,470 Hillsmont Pl,El Cajon,CA,32.800633,-116.983563,Single Family Residential,92020,4,3,El Cajon,2171,8500,1967,8,Garage,11/7/14,N,Y,FALSE,635000
140024445,445,http://www.redfin.com/CA/El-Cajon/412-Hills-Lane-Dr-92020/home/5593396,412 Hills Lane Dr,El Cajon,CA,32.799556,-116.983209,Single Family Residential,92020,3,2,El Cajon,1753,8000,1968,2,Garage,7/10/14,N,Y,FALSE,475000
150001065,65,http://www.redfin.com/CA/El-Cajon/1482-Bathurst-Pl-92020/home/5594268,1482 Bathurst,El Cajon,CA,32.798379,-116.982702,Single Family Residential,92020,4,3,El Cajon,2264,9500,1976,6,Garage,5/6/15,N,Y,TRUE,490000
140051824,824,http://www.redfin.com/CA/El-Cajon/922-Dennstedt-Pl-92020/home/5594517,922 Dennstedt Pl,El Cajon,CA,32.783505,-116.983975,Single Family Residential,92020,3,2,El Cajon,1667,,1957,4,Garage,10/22/14,N,Y,FALSE,420000
140009625,625,http://www.redfin.com/CA/El-Cajon/203-E-Renette-Ave-92020/home/5616430,203 E Renette Ave,El Cajon,CA,32.78389,-116.959768,Single Family Residential,92020,3,2,El Cajon,1646,,1955,4,Garage,6/3/14,N,Y,FALSE,355000
140026867,867,http://www.redfin.com/CA/El-Cajon/206-Pallette-St-92020/home/5616789,206 Pallette St,El Cajon,CA,32.781429,-116.959747,Single Family Residential,92020,3,2,El Cajon,1208,5900,1955,4,Garage,7/11/14,N,Y,FALSE,350000
140010484,484,http://www.redfin.com/CA/El-Cajon/4860-Avocado-Blvd-92020/home/5632951,4860-4862 AVOCADO Blvd,EL CAJON,CA,32.767124,-116.959742,Single Family Residential,92020,6,4,Mount Helix,3729,68825,2011,13,Garage,4/4/14,N,Y,FALSE,865000
140044205,205,http://www.redfin.com/CA/El-Cajon/1724-Circo-Del-Cielo-Dr-92020/home/5635049,1724 Circo Del Cielo Dr,El Cajon,CA,32.771005,-116.960086,Single Family Residential,92020,4,3,El Cajon,2586,,1967,4,Garage,9/17/14,N,Y,FALSE,800000
